,name,url,author,publisher,date,price,rank,comments,quote
68,西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩,人民文学出版社,2004-8,47.20元,9.0,78646人评价,神魔皆有人情，精魅亦通世故
69,永恒的终结,https://book.douban.com/subject/25829693/,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-9,32.00元,9.1,39959人评价,关于时间旅行的终极奥秘和恢宏构想
70,台北人,https://book.douban.com/subject/5337248/,白先勇,广西师范大学出版社,2010-10,38.00元,9.0,62243人评价,白先勇短篇小说集
71,上帝掷骰子吗,https://book.douban.com/subject/1467022/,曹天元,辽宁教育出版社,2006-1,32.00元,9.2,32083人评价,量子物理史话
72,秋园,https://book.douban.com/subject/34998019/,杨本芬,北京联合出版公司,2020-6,38.00元,9.0,58983人评价, 
73,置身事内,https://book.douban.com/subject/35546622/,兰小欢,上海人民出版社,2021-8,65.00元,9.1,47693人评价, 
74,文学回忆录,https://book.douban.com/subject/20440644/,木心 口述,广西师范大学出版社,2013-1-10,98.00元,9.1,41700人评价,木心留给世界的礼物
75,一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,35.00元,9.1,57250人评价,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
76,哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛,哈尔滨出版社,2003-6,15.80元,9.0,54581人评价,沙漠中寻常的生与死
77,灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.00元,8.9,113985人评价,唯有希望与爱可以驱散阴霾
78,孽子,https://book.douban.com/subject/5337254/,白先勇,广西师范大学出版社,2010.10,46.00元,9.1,38112人评价,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
79,最好的告别,https://book.douban.com/subject/26576861/,[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,2015-7-31,54.90元,9.0,44048人评价,关于衰老与死亡，你必须知道的常识
80,人间词话,https://book.douban.com/subject/1203426/,王国维,上海古籍出版社,1998-12,9.80元,9.0,51711人评价,以新眼光评旧文学
81,唐诗三百首,https://book.douban.com/subject/1013267/,蘅塘退士,中华书局,1984-07-01,0.65,9.4,23759人评价,熟读唐诗三百首，不会吟诗也会吟
82,窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著,南海出版公司,2003-1,20.00元,8.8,197517人评价,真正懂孩子的教育经
83,美的历程,https://book.douban.com/subject/3410718/,李泽厚,生活·读书·新知三联书店,2009-7,43.00元,9.2,28050人评价,中国美学经典之作
84,看见,https://book.douban.com/subject/20427187/,柴静,广西师范大学出版社,2013-1-1,39.80元,8.8,324172人评价,在这里看见中国
85,呼兰河传,https://book.douban.com/subject/1060852/,萧红,百花文艺出版社,2005-01,19.00,8.9,77494人评价,萧红的童年往事
86,道德经,https://book.douban.com/subject/1059258/,黄元吉,陕西人民出版社,1996-10,4.50元,9.5,18342人评价,中国历史上首部完整的哲学著作
87,浪潮之巅,https://book.douban.com/subject/6709783/,吴军,电子工业出版社,2011-8,55.00元,9.0,32063人评价,了解IT领域的入门读物
88,美丽新世界,https://book.douban.com/subject/27002046/,【英】奥尔德斯·赫胥黎,上海译文出版社,2017-6,45.00元,9.2,42638人评价, 
89,四世同堂,https://book.douban.com/subject/3183775/,老舍,北京十月文艺出版社,2008-07,36.00元,9.4,32970人评价,北平沦陷时代广大平民的悲惨遭遇
90,刘擎西方现代思想讲义,https://book.douban.com/subject/35313227/,刘擎,新星出版社,2021-1,79.00元,9.2,25738人评价, 
91,爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波,上海锦绣文章出版社,2008-5,18.00元,8.8,108291人评价,王小波与李银河的两地书
92,离开的，留下的,https://book.douban.com/subject/27104959/,[意] 埃莱娜·费兰特,人民文学出版社,2017-10,62.00元,8.9,62732人评价,探索中年的虚无、困惑、野心和近乎残暴的爱
93,我们仨,https://book.douban.com/subject/1023045/,杨绛,生活·读书·新知三联书店,2003-7,18.80元,8.7,293544人评价,家庭生活回忆录
94,冬牧场,https://book.douban.com/subject/10522856/,李娟,新星出版社,2012-6,29.80元,9.1,30200人评价,阿勒泰的精灵
95,巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特,江苏凤凰文艺出版社,2016-5-1,129.80元,8.9,81064人评价,五个家族，一场战争
96,教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐,译林出版社,1997-8,23.30元,9.0,38321人评价,“教父三部曲”电影原著
97,人生的枷锁,https://book.douban.com/subject/2035171/,[英] 毛姆,上海译文出版社,2007-3,32.00元,9.1,28135人评价,在混沌纷扰的生活漩流中，寻求人生的真谛
98,罪与罚,https://book.douban.com/subject/1858568/,[俄] 陀思妥耶夫斯基,上海译文出版社,2006-8,23.00元,9.2,29856人评价,描绘人内心的全部深度
99,海子的诗,https://book.douban.com/subject/1011754/,海子,人民文学出版社,1999-04,15.40,9.0,43140人评价, 
100,看不见的城市,https://book.douban.com/subject/10555509/,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4,25.00元,9.0,31226人评价, 
101,人生的智慧,https://book.douban.com/subject/3261600/,(德)叔本华,上海人民出版社,2008-10-01,28.00元,9.2,29065人评价,对世俗、实用问题深刻而透彻的讨论
102,叫魂,https://book.douban.com/subject/10471333/,[美] 孔飞力,生活·读书·新知三联书店 上海三联书店,2012-5,38.00元,9.1,26710人评价,1768年中国妖术大恐慌
103,斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯,上海人民出版社,2016-1,49.00元,8.8,55802人评价,即使不能拥有完美的生活，所幸追求过完整的自我
104,飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2004-6,16.80元,8.9,62233人评价,一个淡泊清透的世界
105,鹿鼎记,https://book.douban.com/subject/1212893/,金庸,广州出版社 花城出版社,2008-3,108.00元,8.9,53242人评价,武侠的解构，流氓的狂欢
106,失明症漫记,https://book.douban.com/subject/20428302/,[葡] 若泽·萨拉马戈,南海出版公司,2014-2,29.50,9.1,27789人评价,失明症迅速蔓延，整个城市陷入一场空前的灾难
107,绝叫,https://book.douban.com/subject/35031587/,[日] 叶真中显,北京联合出版公司,2020-7,58.00元,8.9,65830人评价, 
108,棋王·树王·孩子王,https://book.douban.com/subject/26734559/,阿城,江苏凤凰文艺出版社,2016-3-1,58.00,9.3,21403人评价, 
109,也许你该找个人聊聊,https://book.douban.com/subject/35481512/,[美]洛莉·戈特利布,上海文化出版社,2021-7-28,68.00元,9.0,34475人评价, 
110,陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓,作家出版社,2011-10,35.00元,8.9,54075人评价,翻手为苍凉，覆手为繁华
111,梦里花落知多少,https://book.douban.com/subject/2070844/,三毛,北京十月文艺出版社,2007-6,28.00元,8.8,93614人评价,哀而不伤
112,边城,https://book.douban.com/subject/1057244/,沈从文,北岳文艺出版社,2002-4,12.00元,8.7,216863人评价,一切充满了善，然而到处是不凑巧
113,这些人，那些事,https://book.douban.com/subject/6388661/,吴念真,译林出版社,2011-9,28.00元,8.8,64496人评价,平淡叙述下的惊心动魄
114,受戒,https://book.douban.com/subject/1760432/,汪曾祺,漓江出版社,1987-10,3.95元,9.3,22823人评价,江南乡镇民间生活，健康淳朴的人性
115,毛泽东选集 第一卷,https://book.douban.com/subject/1139360/,毛泽东,人民出版社,1991-6,40.00元,9.6,22202人评价, 
116,时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金,湖南科学技术出版社,2010-4,45.00元,8.9,58871人评价,探索时间和空间的核心秘密
117,十万个为什么,https://book.douban.com/subject/2160556/,少年儿童出版社,少年儿童出版社,1962,30.00元,9.2,17273人评价, 
118,王尔德童话,https://book.douban.com/subject/1119839/,[英] 王尔德,译林出版社,2003-6,6.00元,9.1,21953人评价,一颗纯美纯善、永难泯灭的童心
119,金色梦乡,https://book.douban.com/subject/5038409/,[日] 伊坂幸太郎,译林出版社,2010-9,35.00元,9.0,27472人评价,伊坂幸太郎代表作
120,小径分岔的花园,https://book.douban.com/subject/25796120/,[阿根廷] 豪·路·博尔赫斯,上海译文出版社,2015-7,23.00,8.9,37239人评价,一个谜语，谜底正是时间
121,克莱因壶,https://book.douban.com/subject/33658616/,[日]冈岛二人,化学工业出版社,2019-9,48.00元,8.9,49199人评价, 
122,你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,[美] 塔拉·韦斯特弗,南海出版公司,2019-10,59.00元,8.7,156360人评价,我来自一个极少有人能想象的家庭，教育给了我新世界
123,桶川跟踪狂杀人事件,https://book.douban.com/subject/35094680/,[日] 清水洁,四川人民出版社,2021-2,45.00元,9.0,34029人评价, 
124,昨日的世界,https://book.douban.com/subject/1062343/,[奥] 斯蒂芬·茨威格,广西师范大学出版社,2004-5-1,32.00元,9.2,13574人评价,一个高贵而残破的昨日镜像
125,茶馆,https://book.douban.com/subject/1036613/,老舍,人民文学出版社,2002-1,9.80元,9.1,27489人评价,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
126,國史大綱（上下）,https://book.douban.com/subject/1046492/,錢穆,商务印书馆,2013-8,76.00元,9.4,15076人评价,钱穆中国通史
127,一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯蒂芬·茨威格,上海译文出版社,2007-7,20.00元,8.7,137022人评价,暗恋的极致
128,人间草木,https://book.douban.com/subject/1253310/,汪曾祺,江苏文艺出版社,2005-01,20.00元,9.2,27428人评价,我就是要这样香，香得痛痛快快
129,绿毛水怪,https://book.douban.com/subject/3518332/,王小波,时代文艺出版社,2009-1,30.00元,9.1,22279人评价,我们好象在池塘的水底，从一个月亮走向另一个月亮
130,故事,https://book.douban.com/subject/25976544/,[美] 罗伯特·麦基,天津人民出版社,2014-9,68.00元,9.2,16931人评价,材质、结构、风格和银幕剧作的原理
131,经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆,机械工业出版社,2003-8,88.00元,9.1,20726人评价,经济学家们的世界观
132,海的女儿,https://book.douban.com/subject/1765512/,安徒生,上海译文出版社,1978年6月,0.43,9.1,20684人评价, 
133,面纱,https://book.douban.com/subject/26757680/,[英] 威廉·萨默塞特·毛姆,江西人民出版社,2016-4-1,39.8元,9.1,27101人评价, 
134,万水千山走遍,https://book.douban.com/subject/1036490/,三毛,哈尔滨出版社,2003-08,13.80,8.9,43588人评价,从遥远的撒哈拉到敦煌戈壁
135,全球通史(上),https://book.douban.com/subject/1922216/,[美]斯塔夫里阿诺斯,北京大学出版社,2006-1-10,42.00,9.2,16481人评价, 
136,苏菲的世界,https://book.douban.com/subject/2284311/,[挪] 乔斯坦·贾德,作家出版社,2007-10,26.00元,8.8,53494人评价,哲学启蒙书
137,阿勒泰的角落,https://book.douban.com/subject/4881850/,李娟,万卷出版公司,2010-6,25.00元,9.1,18472人评价,白雪和阳光，青草和白桦林
138,长日将尽,https://book.douban.com/subject/30142261/,[英] 石黑一雄,上海译文出版社,2018-5,48,8.9,29324人评价, 
139,我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元,8.7,96871人评价,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
140,德米安,https://book.douban.com/subject/3578470/,[德] 赫尔曼·黑塞,上海人民出版社,2009-3,25.00元,8.9,30968人评价,少年辛克莱寻找通向自身之路的艰辛历程
141,少年凯歌,https://book.douban.com/subject/1091203/,陈凯歌,人民文学出版社,2001-6,10.00元,9.3,12949人评价, 
142,史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.00元,8.7,57699人评价,完美主义者的最高形态
143,温柔的夜,https://book.douban.com/subject/2068249/,三毛,北京十月文艺出版社,2007-5,28.00元,9.1,21857人评价,三毛在加纳利群岛的生活
144,爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆,上海译文出版社,2008-4,15.00元,8.8,43074人评价,谦恭地、勇敢地、真诚地和有纪律地爱他人
145,13 67,https://book.douban.com/subject/25897884/,陈浩基,皇冠文化出版有限公司,2014-6-9,NT$350,9.1,17184人评价, 
146,不能承受的生命之轻,https://book.douban.com/subject/4920007/,米兰·昆德拉,上海译文出版社,2010-8,29.00元,8.8,42940人评价, 
147,遥远的向日葵地,https://book.douban.com/subject/27184303/,李娟,花城出版社,2017-11,38.00元,9.1,21275人评价, 
148,霸王别姬,https://book.douban.com/subject/1088711/,李碧华,人民文学出版社,1999-1,10.20元,9.1,20405人评价,人间，只是抹去了脂粉的脸
149,一句顶一万句,https://book.douban.com/subject/3633461/,刘震云,长江文艺出版社,2009-3,29.80,8.8,63594人评价,一句胜过千年
150,古文观止,https://book.douban.com/subject/1014561/,吴楚材,中华书局,1987-1-1,21.00元,9.1,17834人评价,收录自先秦至明末的散文二百二十二篇
151,亮剑,https://book.douban.com/subject/1088022/,都梁,解放军文艺出版社,2005-3,28.00元,9.0,28054人评价,面对强大的对手，明知不敌，也要毅然亮剑
152,球状闪电,https://book.douban.com/subject/1192090/,刘慈欣,四川科学技术出版社,2005-6,22.00元,8.7,77154人评价,量子之外，没有真相
153,我也有一个梦想,https://book.douban.com/subject/1014825/,林达,生活·读书·新知三联书店,2004-08,25.00元,9.0,15270人评价,在法治国家里，民众怎样运用法律
154,可能性的艺术,https://book.douban.com/subject/35819419/,刘瑜,广西师范大学出版社,2022-4,82.00元,9.1,17358人评价, 
155,强风吹拂,https://book.douban.com/subject/26210487/,三浦紫苑,广西师范大学出版社,2015-1-1,39.00元,9.0,21838人评价,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
156,我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,[白俄] S·A·阿列克谢耶维奇,花城出版社,2014-6-15,34.80元,9.1,18681人评价,真实记录切尔诺贝利核灾难事件
157,鹿川有许多粪,https://book.douban.com/subject/35517022/,李沧东,武汉大学出版社,2021-8,58.00元,9.0,22064人评价, 
158,激荡三十年（上）,https://book.douban.com/subject/1970428/,吴晓波,中信出版社 浙江人民出版社,2007-1,35.00,8.8,30358人评价,这是一个最好的时代，也是一个最坏的时代
159,社会心理学,https://book.douban.com/subject/1476651/,[美] 戴维·迈尔斯,人民邮电出版社,2006-1,68.00元,9.0,25094人评价,人们是如何思索、影响他人并与他人建立联系的
160,我的阿勒泰,https://book.douban.com/subject/4884218/,李娟,云南人民出版社,2010-7,22.00元,8.9,24984人评价,描写疆北阿勒泰地区生活和风情的原生态散文集
161,草房子,https://book.douban.com/subject/1052990/,曹文轩,江苏少年儿童出版社,2009-6,18.00元,9.0,44936人评价,男孩桑桑刻骨铭心、终身难忘的六年小学生活
162,海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,[加拿大] 阿利斯泰尔·麦克劳德,上海文艺出版社,2015-6-1,CNY 20.00,9.1,17846人评价,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
163,倾城之恋,https://book.douban.com/subject/1985223/,张爱玲,北京十月文艺出版社,2006-12,29.80元,8.7,48856人评价,“一对平凡的夫妻”之间的“一点真心”
164,安娜·卡列尼娜,https://book.douban.com/subject/2253380/,[俄] 列夫·托尔斯泰,上海文艺出版社,2007-8,37.00元,9.2,23648人评价, 
165,天朝的崩溃,https://book.douban.com/subject/1675478/,茅海建,生活·读书·新知三联书店,2005-7,32.00元,9.2,13936人评价,鸦片战争再研究
166,麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利,上海社会科学院出版社,2003-7,25.00元,8.7,72023人评价,日常的奇迹
167,始于极限,https://book.douban.com/subject/35966120/,[日] 上野千鹤子,新星出版社,2022-9-20,59,9.2,14127人评价, 
168,孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,8.7,76393人评价,我们现在怎样做母亲
169,恶意,https://book.douban.com/subject/26877752/,[日] 东野圭吾,南海出版公司,2016-11,39.50元,8.7,95973人评价, 
170,浮生六记,https://book.douban.com/subject/1088581/,（清）沈复,人民文学出版社,1999-1,38,8.7,65844人评价,苟不记之笔墨，未免有辜彼苍之厚
171,送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜,上海三联书店,2010-1,25.00元,8.6,139734人评价,在这本书里，被“审视”的东西杂七杂八
172,九州·缥缈录,https://book.douban.com/subject/1321017/,江南,新世界出版社,2005-6,20.00元,8.8,30593人评价,乱世的英雄史诗
